user_name,user_id,video_id,music,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
epaforever0,6567168910506901510,6952206955419127046,originalljud,#idrotten #volvoraggare #volvolover❤️ #xyzbca #foryoupage #fypシ #fyfufyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfy #leifobilly,1618686823,10,https://www.tiktok.com/@epaforever0/video/6952206955419127046?lang=en,4951,1007,72,90500
lisaandlena,6804783597552239621,6942513903360380165,BETTER THAN REVENGE,100% purple addict...💜 #getreadywithme#makeup,1616429984,14,https://www.tiktok.com/@lisaandlena/video/6942513903360380165?lang=en,451300,661,1978,3600000
gudomligmat,6892570941885907973,6949064865721896198,Jake25.17 sound,🥭 🧋 🙂  #fördig #foryou #fyp,1617955255,14,https://www.tiktok.com/@gudomligmat/video/6949064865721896198?lang=en,152700,2783,1957,1500000
daniel.ethadpoor,6862032809717433350,6924767948712283398,original sound,#hair #hairstyle #haircut #barber #barbershop #beard #style #stylish #mood #model #modeling #fashion #sverige #stockholm #italia #israel #japon #usa,1612298190,13,https://www.tiktok.com/@daniel.ethadpoor/video/6924767948712283398?lang=en,33600,277,168,2700000
miakhalifa,6780564068844880902,6951777991676546309,deja vu,#inverted this nauseated me lmao,1618586948,15,https://www.tiktok.com/@miakhalifa/video/6951777991676546309?lang=en,1100000,6250,36200,6300000
0funny_clips,6942912679208354822,6943103622221745413,originalljud,,1616567297,59,https://www.tiktok.com/@0funny_clips/video/6943103622221745413?lang=en,23400,4960,482,223600
alexrahimi2,6852682813809083398,6951852928072174853,Africanhome,#foryou #fördig #furdich #tiktok #viral #sweden #german #afghan #🇦🇫 #🇸🇪 #🇩🇪 #هزاره_پشتو_ازبک_افغان_هم_وطن #❤️🔥❤️,1618604395,10,https://www.tiktok.com/@alexrahimi2/video/6951852928072174853?lang=en,4385,88,112,125000
cinnobeer,6781492583224214533,6939588938466135302,Condo,Mini cakes💕 #foryou #chocolate #cakes #forupage #foryoupageofficiall #cake #fanpage #foru #smallbusinesscheck #fyp,1615748962,40,https://www.tiktok.com/@cinnobeer/video/6939588938466135302?lang=en,969,11,15,30300
filippoon,6730715585648919557,6953181196570348806,originalljud,Aloe vera drink 🍹🌿 #aloevera #aloeveragel #foryoupage #foodtiktok #fyp #lärdigpåtiktok #fördig #sommarlängtan #drink #aloe #mat #sommar,1618913664,57,https://www.tiktok.com/@filippoon/video/6953181196570348806?lang=en,36200,265,583,316400
babasburgers,6656788361216589830,6923243924936985862,original sound,Vet ni vilken burgare d e? Ljud från intervjun med @swaypod 🍔 #FrånOrtenFörOrten #svenskhiphop #babasburgers #entreprenör #hamburgare  #burger #fyp,1611943349,53,https://www.tiktok.com/@babasburgers/video/6923243924936985862?lang=en,34200,464,448,389100
youknowike,6723534314052748294,6926489983230496005,original sound,SVENSKAR VS BLATTAR😂😂🔥 DEL 25‼️. NYTT AVSNITT 😂😂🔥🔥 (DELA & TAGGA EN VÄN) 😂😂 IG: YOUKNOWIKE #fördig #fyp #viral,1612699140,59,https://www.tiktok.com/@youknowike/video/6926489983230496005?lang=en,70800,2146,853,722600
jawed.a_99,6806329236346864646,6929070555438107910,original sound,@devonlarratt #armwrestling #armfight #tiktok #foryou #fredom #respect #legend #sweden #armstrength #fyp #4u #devonlarratt #canada #2021😍,1613299980,8,https://www.tiktok.com/@jawed.a_99/video/6929070555438107910?lang=en,11200,342,139,194500
